"category","room_count","bathroom_count","size","type","price","city","region"
"Appartements",0.302406629355864,1,-0.0122488190199886,"À Louer",-0.792927826711924,"Ariana","Autres villes"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",1.40857927968832,"Ariana","Ariana Ville"
"Appartements",-1.74209720663536,1,-1.06721378370348,"À Vendre",-0.043849431863726,"Ariana","Chotrana"
"Maisons et Villas",1.32465854735147,1,1.83393986917612,"À Vendre",1.50228435785297,"Ariana","Ariana"
"Appartements",-0.719845288639747,1,-1.24910429485581,"À Vendre",-0.282797381183579,"Ariana","Chotrana"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",1.32465854735147,1,1.83393986917612,"À Vendre",2.24630267848028,"Ariana","La Soukra"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.377823419877191,"Ariana","Raoued"
"Appartements",0.302406629355864,1,-0.921701374781619,"À Louer",-0.791381692922208,"Ariana","Borj Louzir"
"Appartements",0.302406629355864,1,-0.830756119205456,"À Vendre",-0.0907019709460501,"Ariana","Borj Louzir"
"Maisons et Villas",1.32465854735147,1,1.83393986917612,"À Louer",-0.785525125536917,"Ariana","Autres villes"
"Maisons et Villas",1.32465854735147,1,1.83393986917612,"À Louer",-0.789741854054326,"Ariana","Autres villes"
"Appartements",-1.74209720663536,1,-1.64926341939092,"À Louer",-0.792084481008442,"Ariana","Ghazela"
"Maisons et Villas",-0.719845288639747,1,-0.557920352476967,"À Louer",-0.792131333547525,"Ariana","Chotrana"
"Maisons et Villas",-0.719845288639747,1,-0.921701374781619,"À Louer",-0.791709660695784,"Ariana","Ariana"
"Maisons et Villas",-0.719845288639747,1,-0.739810863629293,"À Louer",-0.792318743703854,"Ariana","Raoued"
"Appartements",0.302406629355864,1,-0.376029841324641,"À Louer",-0.789788706593408,"Ariana","La Soukra"
"Appartements",-0.719845288639747,1,-0.557920352476967,"À Louer",-0.791615955617619,"Ariana","Raoued"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Raoued"
"Bureaux et Plateaux",-0.719845288639747,1,-0.739810863629293,"À Louer",-0.789273328663503,"Ariana","Ennasr"
"Maisons et Villas",0.302406629355864,1,-0.0122488190199886,"À Louer",-0.791756513234866,"Ariana","La Soukra"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Sidi Thabet"
"Appartements",1.32465854735147,1,0.897203736741642,"À Louer",-0.787867752491033,"Ariana","Ariana"
"Maisons et Villas",1.83578450634928,1,1.83393986917612,"À Louer",-0.78013708354245,"Ariana","Ariana"
"Appartements",-0.719845288639747,1,-1.43099480600813,"À Vendre",-0.395243474981157,"Ariana","Ariana"
"Appartements",0.302406629355864,1,-0.194139330172315,"À Vendre",0.354397150336029,"Ariana","Ariana"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.373138165968959,"Ariana","Ariana"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.0967081853832464,"Ariana","Ariana"
"Appartements",0.302406629355864,1,0.406099356630362,"À Vendre",0.794811017709876,"Ariana","Ariana"
"Appartements",-0.719845288639747,1,-0.285084585748478,"À Vendre",-0.0063674005978667,"Ariana","Ghazela"
"Maisons et Villas",0.302406629355864,1,1.83393986917612,"À Vendre",1.73654705326459,"Ariana","Ariana"
"Maisons et Villas",0.302406629355864,1,0.551611765552222,"À Vendre",0.940053888865081,"Ariana","Ariana"
"Appartements",0.302406629355864,1,-0.557920352476967,"À Vendre",-0.20783331865186,"Ariana","Raoued"
"Appartements",-0.719845288639747,1,-1.10359188593395,"À Vendre",0.284118341712543,"Ariana","Ariana"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.284118341712543,"Ariana","Ariana"
"Maisons et Villas",0.302406629355864,1,1.83393986917612,"À Vendre",2.24630267848028,"Ariana","Ariana"
"Bureaux et Plateaux",-1.74209720663536,1,-1.28548239708627,"À Vendre",-0.043849431863726,"Ariana","Ariana"
"Bureaux et Plateaux",0.302406629355864,1,0.00594023209524405,"À Louer",-0.781776922410331,"Ariana","Ghazela"
"Appartements",0.302406629355864,1,-0.103194074596152,"À Vendre",0.190413263547895,"Ariana","Ghazela"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",-0.231259588193023,"Ariana","Ghazela"
"Bureaux et Plateaux",-0.719845288639747,1,-0.557920352476967,"À Louer",-0.78599365092774,"Ariana","Ghazela"
"Maisons et Villas",0.302406629355864,1,1.83393986917612,"À Vendre",2.24630267848028,"Ariana","Ghazela"
"Maisons et Villas",1.32465854735147,1,1.83393986917612,"À Vendre",1.68969451418227,"Ariana","Ghazela"
"Appartements",-0.719845288639747,1,-1.19453714151011,"À Louer",-0.790678904835973,"Ariana","Ariana"
"Maisons et Villas",1.32465854735147,1,-0.194139330172315,"À Vendre",0.0264293767597602,"Ariana","Ghazela"
"Appartements",0.302406629355864,1,0.351532203284664,"À Louer",-0.790913167531384,"Ariana","Borj Louzir"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",1.68969451418227,"Ariana","Jardins D'el Menzah"
"Appartements",0.302406629355864,1,-0.921701374781619,"À Louer",-0.789741854054326,"Ariana","Ennasr"
"Appartements",-0.719845288639747,1,-1.28548239708627,"À Louer",-0.790444642140561,"Ariana","Ennasr"
"Appartements",1.32465854735147,1,0.478855561091292,"À Vendre",1.27270691634958,"Ariana","Ennasr"
"Appartements",0.302406629355864,1,1.02452709454827,"À Vendre",1.87710467051156,"Ariana","La Soukra"
"Appartements",-1.74209720663536,1,-1.34004955043197,"À Vendre",-0.114128240487212,"Ariana","Jardins D'el Menzah"
"Locations de vacances",-1.74209720663536,1,-1.28548239708627,"À Louer",-0.793162089407336,"Ariana","Ennasr"
"Maisons et Villas",1.83578450634928,1,1.83393986917612,"À Vendre",2.24630267848028,"Ariana","La Soukra"
